job_ad_id,job_city_id,job_industry_id,job_type_id,job_ownership_id,job_fed_contractor,job_equal_opp_employer,job_req_any,job_req_communication,job_req_education,job_req_min_experience,job_req_computer,job_req_organization,job_req_school
384,1,5,6,2,NA,1,1,0,0,5,1,0,none_listed
384,1,5,6,2,NA,1,1,0,0,5,1,0,none_listed
384,1,5,6,2,NA,1,1,0,0,5,1,0,none_listed
384,1,5,6,2,NA,1,1,0,0,5,1,0,none_listed
385,1,1,1,4,0,1,1,0,0,some,1,1,none_listed
386,1,3,4,1,0,1,0,0,0,,0,0,none_listed
386,1,3,4,1,0,1,0,0,0,,0,0,none_listed
385,1,1,1,4,0,1,1,0,0,some,1,1,none_listed
386,1,3,4,1,0,1,0,0,0,,0,0,none_listed
386,1,3,4,1,0,1,0,0,0,,0,0,none_listed
387,1,1,1,4,0,1,1,0,0,some,1,0,none_listed
387,1,1,1,4,0,1,1,0,0,some,1,0,none_listed
388,1,2,1,1,0,1,1,1,0,,1,1,none_listed
388,1,2,1,1,0,1,1,1,0,,1,1,none_listed
389,1,3,4,2,NA,1,0,0,0,,0,0,none_listed
389,1,3,4,2,NA,1,0,0,0,,0,0,none_listed
389,1,3,4,2,NA,1,0,0,0,,0,0,none_listed
389,1,3,4,2,NA,1,0,0,0,,0,0,none_listed
390,1,3,2,1,0,0,0,0,0,,0,0,none_listed
390,1,3,2,1,0,0,0,0,0,,0,0,none_listed
390,1,3,2,1,0,0,0,0,0,,0,0,none_listed
390,1,3,2,1,0,0,0,0,0,,0,0,none_listed
392,1,3,3,2,0,0,1,0,1,,0,0,some_college
391,1,1,1,4,1,0,1,0,1,some,1,0,college
392,1,3,3,2,0,0,1,0,1,,0,0,some_college
391,1,1,1,4,1,0,1,0,1,some,1,0,college
392,1,3,3,2,0,0,1,0,1,,0,0,some_college
391,1,1,1,4,1,0,1,0,1,some,1,0,college
391,1,1,1,4,1,0,1,0,1,some,1,0,college
392,1,3,3,2,0,0,1,0,1,,0,0,some_college
393,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
393,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
393,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
393,1,4,1,2,NA,0,1,0,0,,1,0,none_listed
395,1,5,3,2,NA,0,0,0,0,,0,0,none_listed
394,1,2,5,1,0,1,1,1,0,3,1,0,none_listed
394,1,2,5,1,0,1,1,1,0,3,1,0,none_listed
395,1,5,3,2,NA,0,0,0,0,,0,0,none_listed
394,1,2,5,1,0,1,1,1,0,3,1,0,none_listed
395,1,5,3,2,NA,0,0,0,0,,0,0,none_listed
394,1,2,5,1,0,1,1,1,0,3,1,0,none_listed
395,1,5,3,2,NA,0,0,0,0,,0,0,none_listed
396,1,1,3,2,NA,0,1,0,1,2,0,0,college
396,1,1,3,2,NA,0,1,0,1,2,0,0,college
396,1,1,3,2,NA,0,1,0,1,2,0,0,college
396,1,1,3,2,NA,0,1,0,1,2,0,0,college
397,1,3,3,2,0,0,0,0,0,,0,0,none_listed
397,1,3,3,2,0,0,0,0,0,,0,0,none_listed
398,1,1,1,3,0,0,1,0,0,,0,0,none_listed
398,1,1,1,3,0,0,1,0,0,,0,0,none_listed
398,1,1,1,3,0,0,1,0,0,,0,0,none_listed
398,1,1,1,3,0,0,1,0,0,,0,0,none_listed
399,1,4,1,1,0,0,1,0,0,some,0,0,none_listed
399,1,4,1,1,0,0,1,0,0,some,0,0,none_listed
400,1,3,3,1,1,0,1,0,0,some,0,0,none_listed
399,1,4,1,1,0,0,1,0,0,some,0,0,none_listed
399,1,4,1,1,0,0,1,0,0,some,0,0,none_listed
400,1,3,3,1,1,0,1,0,0,some,0,0,none_listed
401,1,2,1,4,NA,1,1,0,1,,1,0,some_college
401,1,2,1,4,NA,1,1,0,1,,1,0,some_college
401,1,2,1,4,NA,1,1,0,1,,1,0,some_college
401,1,2,1,4,NA,1,1,0,1,,1,0,some_college
403,1,1,3,2,0,0,0,0,0,,0,0,none_listed
402,1,5,1,1,0,1,0,0,0,,0,0,none_listed
403,1,1,3,2,0,0,0,0,0,,0,0,none_listed
402,1,5,1,1,0,1,0,0,0,,0,0,none_listed
402,1,5,1,1,0,1,0,0,0,,0,0,none_listed
402,1,5,1,1,0,1,0,0,0,,0,0,none_listed
404,1,2,5,1,0,0,1,1,0,,1,1,none_listed
404,1,2,5,1,0,0,1,1,0,,1,1,none_listed
405,1,3,2,2,0,1,0,0,0,,0,0,none_listed
405,1,3,2,2,0,1,0,0,0,,0,0,none_listed
404,1,2,5,1,0,0,1,1,0,,1,1,none_listed
405,1,3,2,2,0,1,0,0,0,,0,0,none_listed
